	质量 B		
t	x	y	
21.496	-571.2	-366.7
21.529	-489.4	-376.1
21.563	-390.1	-395.6
21.596	-289.1	-402.1
21.629	-181.3	-406.2
21.663	-71.18	-409.6
21.696	39.92	-408.5
21.729	149.5	-405.6
21.763	256.9	-400.2
21.796	357.4	-391.8
21.829	450.8	-382.6
21.863	534.5	-371.2
21.896	596.4	-349.6
21.929	649.4	-333.3
21.963	696.8	-322.9
21.996	732.6	-315.0
22.029	752.5	-309.7
22.063	757.4	-307.6
22.096	749.7	-308.2
22.129	725.7	-312.0
22.163	688.9	-318.7
22.196	639.8	-326.9
22.229	576.8	-337.7
22.263	507.3	-351.8
22.296	421.6	-361.6
22.329	345.3	-378.9
22.363	246.9	-386.6
22.396	144.5	-393.1
22.429	40.02	-395.7
22.463	-68.36	-397.2
22.496	-173.9	-395.2
22.529	-277.0	-391.1
22.563	-374.6	-385.5
22.596	-467.0	-378.9
22.629	-548.3	-370.6
22.663	-620.1	-363.6
22.696	-678.2	-356.4
22.729	-735.3	-338.5
22.763	-763.7	-335.2
22.796	-777.4	-333.7
22.829	-776.6	-334.7
22.863	-759.1	-338.7
22.896	-727.1	-344.9
